name,alt_name,name:nan-HJ,name:nan,name:nan-TL
二二八和平公園,新公園,二二八和平公園,Jī-jī-pat Hô-pêng Kong-hn̂g,Jī-jī-pat-hô-pîng-kong-hn̂g
東門國小,,東門國小,Tang-mn̂g Kok-sió,Tang-mn̂g Kok-sió
東園國小,,東園國小,Tang-hn̂g Kok-sió,Tang-hn̄g Kok-sió
網溪國小,,,Bāng-khe-kok-sió,
木柵國中,,木柵國中,Ba̍k-sa Kok-tiong,Ba̍k-sa Kok-tiong
木柵國小,,,Ba̍k-sa-kok-sió,
台北日僑學校,台北日本人學校,,Tâi-pak-ji̍p-pún-lâng-ha̍k-hāu,
台北美國學校,美國學校,,Bí-kok-ha̍k-hāu,
忠義國小,,忠義國小,Tiong-gī Kok-sió,Tiong-gī Kok-sió
雙園國中,,雙園國中,Siang-hn̂g Kok-tiong,Siang-hn̂g Kok-tiong
仁愛國中,,仁愛國中,Jîn-ài Kok-tiong,Jîn-ài Kok-tiong
仁愛國小,,仁愛國小,Jîn-ài Kok-sió,Jîn-ài Kok-sió
北投國小,,,Pak-tâu-kok-sió,
中山公園,,,Tiong-san-kong-hn̂g,
師大附中,,師大附中,Su-tāi Hù-tiong,Su-tāi Hù-tiong
中華商業海事學校,,,Tiong-huâ-siong-gia̍p-hái-sū-ha̍k-hāu,
三興國小,,三興國小,Saⁿ-heng Kok-sió,Sann-hing Kok-sió
中山女高,中山女中,中山女中,Tiong-san Lú-tiong,Tiong-san Lú-tiong
中正國小,,中正國小,Tiong-chèng Kok-sió,Tiong-tsìng Kok-sió
五常國中,,五常國中,Gō͘-siông Kok-tiong,Gōo-siông Kok-tiong
大安國中,,大安國中,Tāi-an Kok-tiong,Tāi-an Kok-tiong
大橋國小,,大橋國小,Tōa-kiô Kok-sió,Tuā-kiô Kok-sió
私立延平中學,延平中學,私立延平中學,Su-li̍p Iân-pêng Tiong-ha̍k,Su-li̍p Iân-ping Tiong-ha̍k
建安國小,,建安國小,Kiàn-an Kok-sió,Kiàn-an Kok-sió
忠孝國小,,忠孝國小,Tiong-hàu Kok-sió,Tiong-hàu Kok-sió
東湖國中,,東湖國中,Tang-ô͘ Kok-tiong,Tang-ôo Kok-tiong
松山高中,,松山高中,Siong-san Ko-tiong,=Siong-san Ko-tiong
民權國小,,民權國小,Bîn-khoân Kok-sió,Bîn-khuân Kok-sió
螢橋國小,,螢橋國小,Êng-kiô Kok-sió,Îng-kiô Kok-sió
逸仙國小,,,I̍t-sian-kok-sió,
金華國小,,金華國小,Kim-hôa Kok-sió,Kim-huâ Kok-sió
麗山高中,,,Lē-san-ko-tiong,
中正國中,,中正國中,Tiong-chèng Kok-tiong,Tiong-tsìng Kok-tiong
臺北市立第一女子高級中學,,臺北市立第一女子高級中學,Tâi-pak Chhī-li̍p Tē-i̍t Lú-chú-Ko-kip tiong-ha̍k,Tâi-pak Tshī-li̍p Tē-it Lú-tsú Ko-kip-tiong-ha̍k
北投國中,,,Pak-tâu-kok-tiong,
大同國小,,大同國小,Tōa-tông Kok-sió,Tuā-tông Kok-sió
幸安國小,,幸安國小,Hēng-an Kok-sió,Hìng-an Kok-sió
建成國中,,建成國中,Kiàn-sêng Kok-tiong,Kiàn-sîng Kok-tiong
成淵高中,,成淵高中,Sêng-ian Ko-tiong,Sîng-ian Ko-tiong
日新國小,,日新國小,Ji̍t-sin Kok-sió,Ji̍t-sin Kok-sió
桃源國中,,桃源國中,Thô-goân Kok-tiong,Thô-guân Kok-tiong
民族實驗國中,,民族實驗國中,Bîn-cho̍k Si̍t-giām Kok-tiong,Bîn-tso̍k Si̍t-giām Kok-tiong
臺北歐洲學校小學部,,,Au-chiu-ha̍k-hāu,
雙蓮國小,,雙蓮國小,Siang-liân Kok-sió,Siang-liân Kok-sió
清水國小,,清水國小,Chheng-chúi Kok-sió,Tshing-tsuí-kok-sió
黎和生態公園,大安410號公園,犁和生態公園,Lôe-hô Seng-thài Kong-hn̂g,Luê-hô Sing-thài Kong-hn̂g
富陽生態公園,大安408號公園,富陽生態公園,Hù-iông Seng-thài Kong-hn̂g,Hù-iông Sing-thài Kong-hn̂g
福州山公園,大安409號公園,福州山公園,Hok-chiu-soaⁿ Kong-hn̂g,Hok-tsiu-suann Kong-hn̂g
南港公園,,,Lâm-káng Kong-hn̂g,Lâm-káng Kong-hn̂g
國立臺灣師範大學公館校區,,國立臺灣師範大學公館校區,Kok-li̍p Tâi-oân Su-hoān Tāi-ha̍k Kong-koán Hāu-khu,Kok-li̍p Tâi-uân Tāi-ha̍k Su-huān Tāi-ha̍k Kong-kuán Hāu-khu
華山公園,,華山公園,Hôa-san Kong-hn̂g,Huâ-san Kong-hn̂g
小港森林公園,89期重劃區,,Sió-káng-sim-lîm-kong-hn̂g,
國立臺灣科技大學,國立台灣科技大學,,Kok-li̍p-tâi-uân-kho-ki-tāi-ha̍k,
北新國小,,,Pak-sin-kok-sió,
武漢國中,,,Bú-hàn-kok-tiong,
國立臺灣海洋大學,海洋大學,,Kok-li̍p-hái-iûnn-tāi-ha̍k,
臺北市客家文化主題公園,,臺北市客家文化主題公園,Tâi-pak-chhī Kheh-ka Bûn-hòa Chú-tê Kong-hn̂g,Tâi-pak-tshī Kheh-ka Bûn-huà Tsú-tê Kong-hn̂g
金湖國小,,金湖國小,Kim-ô͘ Kok-sió,Kim-ôo Kok-sió
國立臺灣師範大學和平校區,,國立臺灣師範大學和平校區,Kok-li̍p Tâi-oân Su-hoān Tāi-ha̍k Hô-pêng Hāu-khu,Kok-li̍p Tâi-uân Su-huān Tāi-ha̍k Hô-pîng Hāu-khu
中興公園,,中興公園,Tiong-heng Kong-hn̂g,Tiong-hing Kong-hn̂g
國立成功大學,國立成功大學,,Kok-li̍p Sêng-kong Tāi-ha̍k,
新和國小,,新和國小,Sin-hô Kok-sió,Sin-hô Kok-sió
