name,name:nan,name:nan-HJ,name:nan-TL
泰順街62巷,Thài-sūn-koe 62-hāng,泰順街62巷,Thài-sūn-kue 62-hāng
泰順街62巷12弄,Thài-sūn-koe 62-hāng 12-lōng,泰順街62巷12弄,Thài-sūn-kue 62-hāng 12-lōng
泰順街62巷13弄,Thài-sūn-koe 62-hāng 13-lōng,泰順街62巷13弄,Thài-sūn-kue 62-hāng 13-lōng
浦城街,Phó͘-siâⁿ-koe,浦城街,Phóo-siânn-kue
浦城街13巷,Phó͘-siâⁿ-koe 13-hāng,浦城街13巷,Phóo-siânn-kue 13-hāng
浦城街13巷16弄,Phó͘-siâⁿ-koe 13-hāng 16-lōng,浦城街13巷16弄,Phóo-siânn-kue 13-hāng 16-lōng
浦城街13巷6弄,Phó͘-siâⁿ-koe 13-hāng 6-lōng,浦城街13巷6弄,Phóo-siânn-kue 13-hāng 6-lōng
浦城街16巷,Phó͘-siâⁿ-koe 16-hāng,浦城街16巷,Phóo-siânn-kue 16-hāng
浦城街21巷,Phó͘-siâⁿ-koe 21-hāng,浦城街21巷,Phóo-siânn-kue 21-hāng
浦城街22巷,Phó͘-siâⁿ-koe 22-hāng,浦城街22巷,Phóo-siânn-kue 22-hāng
浦城街24巷,Phó͘-siâⁿ-koe 24-hāng,浦城街24巷,Phóo-siânn-kue 24-hāng
浦城街26巷,Phó͘-siâⁿ-koe 26-hāng,浦城街26巷,Phóo-siânn-kue 26-hāng
浦城街4巷,Phó͘-siâⁿ-koe 4-hāng,浦城街4巷,Phóo-siânn-kue 4-hāng
浦城街6巷,Phó͘-siâⁿ-koe 6-hāng,浦城街6巷,Phóo-siânn-kue 6-hāng
浮洲橋,Phû-chiu-kiô,浮洲橋,Phû-tsiu-kiô
烏塗隧道,O͘-thô͘ Pōng-khang,烏塗磅空,Oo-thôo Pōng-khang
紗帽橋,Se-bō-kiô,,
馬槽橋,Bé-chô-kiô,,
健行橋,健行橋 (Kiān-hêng-kiô),,
健康路,Kiān-khong-lō͘,健康路,Kiān-khong-lōo
基河路,Ke-hô-lō͘,基河路,Ke-hô-lōo
基金一路,Ke-kim 1-lō͘,基金一路,Ke-kim 1-lōo
基金二路,Ke-kim 2-lō͘,基金二路,Ke-kim 2-lōo
基金三路,Ke-kim 3-lō͘,基金三路,Ke-kim 3-lōo
基隆路一段,Ke-lâng-lō͘-1-tōaⁿ,,Ke-lâng-lōo-1-tuānn
基隆路三段,Ke-lâng-lō͘-3-tōaⁿ,基隆路三段,Ke-lâng-lōo-3-tuānn
