name,alt_name,name:nan-HJ,name:nan,name:nan-TL
小碧潭部落,,小碧潭部落,Sió-phek-thâm Pō͘-lo̍k,Sió-phik-thâm Pōo-lo̍k
頂埔,,頂埔,Téng-po͘,Tíng-poo
媽祖田,,媽祖田,Má-tsóo-tshân,
八斗子,,,Peh-táu-á,
西門町,,,Se-mn̂g-teng,Se-mn̂g-ting
東園,,,Tang-hn̂g,
西園,,,Se-hn̂g,
江子翠,,港仔喙,Káng-á-chhùi,Káng-á-tshuì
光華商場,,光華商場,Kong-hôa Siong-tiûⁿ,Kong-huâ-siong-tiûnn
後車頭,後站;後車站;後驛,,Āu-tshia-thâu,
五堵,,五堵,Gō͘-tó͘,Gōo-tóo
南機場,,南機場,Lâm-ki-tiûⁿ,Lâm-ki-tiûnn
古亭,,,Kó͘-tîng,
尖山腳,,尖山跤,Chiam-soaⁿ-kha,Tsiam-suann-kha
信義區,,,Sìn-gī-khu,
坡內坑,埤內坑,坡內坑,Pho-lāi-khiⁿ,Pho-lāi-khinn
抱子腳,,抱仔跤,Phō-á-kha,Phō-á-kha
軍功坑,,軍功坑,Kun-kong-khiⁿ,Kun-kóng-khinn
頭廷魁,頭重溪,頭前溪,Thâu-tiông-khoe,Thâu-tsîng-khue
北區,,,Pak-khu,
東區,,,Tang,
香山區,,,Hiong-san-khu,
鹿谷鄉,,,Lo̍k-kok-hiong,
臺南市,,臺南市,Tâi-lâm-chhī,Tâi-lâm-tshī
白河區,,,Pe̍h-hô-khu,
湳坑仔,,湳坑仔,Lâm-khiⁿ-á,Lâm-khinn-á
橫溪,,橫溪,Hûiⁿ-khoe,Huînn-khue
竹仔腳,,竹仔跤,Tek-á-kha,Tik-á-kha
永和區,,,Éng-hô-khu,
壯圍鄉,,,Chòng-ûi-hiong,
馬賽,,,Má-sài,
清水,,清水,Chheng-chúi,Tshing-tsuí
後埔,,後埔,Āu-po͘,Āu-poo
蘭嶼鄉 Ponso no Tao,,,Lân-sū-hiong,
劉厝,,,Lâu-tshù,
鎭平,,,Tìn-pênn,
汐止區,,,Se̍k-chí-khu,
埤頭鄉,,,Pi-thâu-hiong,
山仔腳,,山仔跤,Soaⁿ-á-kha,Suann-á-kha
翠谷,,翠谷,Chhùi-kok,Tshuì-kok
保長坑,,保長坑,Pó-tiúⁿ-khiⁿ,Pó-tiúnn-khinn
大竿林,,大竿林,Tōa-koaⁿ-nâ,Tuā-kuann-nâ
石門坑,,石門坑,Chio̍h-mn̂g-khiⁿ,Tsio̍h-mn̂g-khinn
鄉長厝,,鄉長厝,Hiong-tiuⁿ-chhù,Hiong-tiúnn-tshù
公舘,公館,,Kong-kuán,
竹崙,,竹崙,Tek-lūn,Tik-lūn
九鬮,,九鬮,Káu-khau,Káu-khau
新北投,,,Sin-Pak-tâu,
老梅,,老梅,Lo-boe,Lo-bue
三和,,,Sam-hô,
下朥胥,,,Ē-lau-su,
坪頂,,,Pêⁿ-tíng,
埔子,,,Po͘-tsí,
學田,,,Ha̍k-tiân,
朥胥,,,Lau-su,
牛頂頭,,,Gû-tíng-thâu,
番子井,,,Huan-á-tsíng,
頂朥胥,,,Tíng-lau-su,
二十六份,,二十六份,Jī-cha̍p-la̍k-hūn,Jī-tsa̍p-la̍k-hūn
四份子,,四份仔,Sì-hūn-á,Sì-hūn-á
坪林,,坪林,Pîⁿ-nâ,Pînn-nâ
埤頭,,,Pi-thâu,
大厝坑,,大厝坑,Tōa-chhù-kheⁿ,Tuā-tshù-khenn
大和園,,大和園,Tōa-hô-hn̂g,Tuā-hô-hn̂g
建安,,建安,Kiàn-an,Kiàn-an
建福坑,,建福坑,Kiàn-hok-khiⁿ,Kiàn-hok-khinn
成福,,成福,Sêng-hok,Sîng-hok
新安,,新安,Sin-an,Sin-an
林厝,,林厝,Lîm-chhù,Lîm-tshù
溪南,,溪南,Khoe-lâm,Khue-lâm
紫微,祖眉坑,祖眉坑,Chó͘-bî-khiⁿ,Tsóo-bî-khinn
蘇厝,,蘇厝,So͘-chhù,Soo-tshù
陳厝,,,Tân-tshù,
陳厝,,陳厝,Tân-chhù,Tân-tshù
頂寮,,頂寮,Téng-liâu,Tíng-liâu
三城,,三城,Saⁿ-siâⁿ,Sann-siânn
三城湖,,三城湖,Saⁿ-siâⁿ-ô͘,Sann-siânn-ôo
三抱竹,,三抱竹,Saⁿ-phō-tek,Sann-phō-tik
下城,,下城,Ē-siâⁿ,Ē-siânn
中興坑,,中興坑,Tiong-heng-khiⁿ,Tiong-hing-khinn
二八張,,二八張,Jī-peh-tiuⁿ,Jī-peh-tiunn
二叭子,,二叭仔,Jī-pat-á,Jī-pat-á
二城,,二城,Jī-siâⁿ,Jī-siânn
五城,,五城,Gō͘-siâⁿ,Gōo-siânn
伸杖坂,,伸杖阪,Sin-tiōng-póaⁿ,Sin-tiōng-puánn
內媽祖田,,內媽祖田,Lāi-má-chó͘-chhân,Lāi-má-tsóo-tshân
十四份,,十四份,Cha̍p-sì-hūn,Tsa̍p-sì-hūn
四十張,,四十張,Sì-cha̍p-tiuⁿ,Sì-tsa̍p-tiunn
四城,,四城,Sì-siâⁿ,Sì-siânn
埤子墘,,埤仔墘,Pi-á-kîⁿ,Pi-á-kînn
埤尾,,,Pi-bóe,Pi-bué
堰堤,,堰堤,Ián-thê,Ián-thê
大暖坑,,大暖坑,Tōa-loán-khiⁿ,Tuā-luán-khinn
大湳坑,,大湳坑,Tōa-lâm-kheⁿ,Tuā-lâm-khenn
媽祖坑,,媽祖坑,Má-chó͘-khiⁿ,Má-tsóo-khinn
