name,name:nan-HJ,name:nan-TL,name:nan-POJ,name:nan-HJ || name,name:nan-TL | name:nan-POJ,name:nan-HJ || name（name:nan-TL | name:nan-POJ）,Include numbers or ()
碧潭,碧潭,Phik-thâm,Phek-thâm,碧潭,Phik-thâm | Phek-thâm,碧潭（Phik-thâm | Phek-thâm）,FALSE
碧潭大橋,碧潭大橋,Phik-thâm-tuā-kiô,Phek-thâm-tōa-kiô,碧潭大橋,Phik-thâm-tuā-kiô | Phek-thâm-tōa-kiô,碧潭大橋（Phik-thâm-tuā-kiô | Phek-thâm-tōa-kiô）,FALSE
碧潭路,碧潭路,Phik-thâm-lōo,Phek-thâm-lō͘,碧潭路,Phik-thâm-lōo | Phek-thâm-lō͘,碧潭路（Phik-thâm-lōo | Phek-thâm-lō͘）,FALSE
福山 Tranan,福山,Hok-suann,Hok-soaⁿ,福山,Hok-suann | Hok-soaⁿ,福山（Hok-suann | Hok-soaⁿ）,FALSE
福斗路口,福斗路口,Hok-táu Lōo-kháu,Hok-táu Lō͘-kháu,福斗路口,Hok-táu Lōo-kháu | Hok-táu Lō͘-kháu,福斗路口（Hok-táu Lōo-kháu | Hok-táu Lō͘-kháu）,FALSE
福安,,Hok-an,Hok-an,福安,Hok-an,福安（Hok-an）,FALSE
福州山公園,福州山公園,Hok-tsiu-suann Kong-hn̂g,Hok-chiu-soaⁿ Kong-hn̂g,福州山公園,Hok-tsiu-suann Kong-hn̂g | Hok-chiu-soaⁿ Kong-hn̂g,福州山公園（Hok-tsiu-suann Kong-hn̂g | Hok-chiu-soaⁿ Kong-hn̂g）,FALSE
福州厝,福州厝,Hok-tsiu-tshù,Hok-chiu-chhù,福州厝,Hok-tsiu-tshù | Hok-chiu-chhù,福州厝（Hok-tsiu-tshù | Hok-chiu-chhù）,FALSE
福州街,福州街,Hok-tsiu-kue,Hok-chiu-koe,福州街,Hok-tsiu-kue | Hok-chiu-koe,福州街（Hok-tsiu-kue | Hok-chiu-koe）,FALSE
福州街口,福州街口,Hok-tsiu Kue-kháu,Hok-chiu Koe-kháu,福州街口,Hok-tsiu Kue-kháu | Hok-chiu Koe-kháu,福州街口（Hok-tsiu Kue-kháu | Hok-chiu Koe-kháu）,FALSE
福和橋,,Hok-hō-kiô,Hok-hô-kiô,福和橋,Hok-hō-kiô | Hok-hô-kiô,福和橋（Hok-hō-kiô | Hok-hô-kiô）,FALSE
福林橋,,,Hok-lîm-kiô,福林橋,Hok-lîm-kiô,福林橋（Hok-lîm-kiô）,FALSE
福星國小,福星國小,Hok-sing-kok-sió,Hok-seng-kok-sió,福星國小,Hok-sing-kok-sió | Hok-seng-kok-sió,福星國小（Hok-sing-kok-sió | Hok-seng-kok-sió）,FALSE
福國路,福國路,Hok-kok-lōo,Hok-kok-lō͘,福國路,Hok-kok-lōo | Hok-kok-lō͘,福國路（Hok-kok-lōo | Hok-kok-lō͘）,FALSE
福連國小,福連國小,Hok-liân Kok-sió,Hok-liân Kok-sió,福連國小,Hok-liân Kok-sió,福連國小（Hok-liân Kok-sió）,FALSE
福隆,福隆,Hok-liông,Hok-liông,福隆,Hok-liông,福隆（Hok-liông）,FALSE
福壽橋,福壽橋,Hok-siū-kiô,Hok-siū-kiô,福壽橋,Hok-siū-kiô,福壽橋（Hok-siū-kiô）,FALSE
福爾摩沙高速公路,,Hok-nī-mōo-sa-ko-sok-kong-lōo,Hok-nī-mō͘-sa-ko-sok-kong-lō͘,福爾摩沙高速公路,Hok-nī-mōo-sa-ko-sok-kong-lōo | Hok-nī-mō͘-sa-ko-sok-kong-lō͘,福爾摩沙高速公路（Hok-nī-mōo-sa-ko-sok-kong-lōo | Hok-nī-mō͘-sa-ko-sok-kong-lō͘）,FALSE
福德,,,Hok-tik,福德,Hok-tik,福德（Hok-tik）,FALSE
福德坑,福德坑,Hok-tik-khenn,Hok-tek-kheⁿ,福德坑,Hok-tik-khenn | Hok-tek-kheⁿ,福德坑（Hok-tik-khenn | Hok-tek-kheⁿ）,FALSE
福德街,福德街,Hok-tik-kue,Hok-tek-koe,福德街,Hok-tik-kue | Hok-tek-koe,福德街（Hok-tik-kue | Hok-tek-koe）,FALSE
福興鄉,,,Hok-heng-hiong,福興鄉,Hok-heng-hiong,福興鄉（Hok-heng-hiong）,FALSE
福興路,,Hok-hing-lōo,Hok-heng-lō͘,福興路,Hok-hing-lōo | Hok-heng-lō͘,福興路（Hok-hing-lōo | Hok-heng-lō͘）,FALSE
福興路口,福興路口,Ho̍k-hing Lōo-kháu,Ho̍k-heng Lō͘-kháu,福興路口,Ho̍k-hing Lōo-kháu | Ho̍k-heng Lō͘-kháu,福興路口（Ho̍k-hing Lōo-kháu | Ho̍k-heng Lō͘-kháu）,FALSE
福興隧道,,Hok-hing-pōng-khang,Hok-heng-pōng-khang,福興隧道,Hok-hing-pōng-khang | Hok-heng-pōng-khang,福興隧道（Hok-hing-pōng-khang | Hok-heng-pōng-khang）,FALSE
福龍園,福龍園,Hok-liông-hn̂g,Hok-liông-hn̂g,福龍園,Hok-liông-hn̂g,福龍園（Hok-liông-hn̂g）,FALSE
福龜,福龜,Hok-ku,Hok-ku,福龜,Hok-ku,福龜（Hok-ku）,FALSE
福龜旅遊中心,福龜旅遊中心,Hok-ku Lú-iû Tiong-sim,Hok-ku Lú-iû Tiong-sim,福龜旅遊中心,Hok-ku Lú-iû Tiong-sim,福龜旅遊中心（Hok-ku Lú-iû Tiong-sim）,FALSE
福營國中,福營國中,Hok-îng Kok-tiong,Hok-êng Kok-tiong,福營國中,Hok-îng Kok-tiong | Hok-êng Kok-tiong,福營國中（Hok-îng Kok-tiong | Hok-êng Kok-tiong）,FALSE
精武,精武,Tsing-bú,Cheng-bú,精武,Tsing-bú | Cheng-bú,精武（Tsing-bú | Cheng-bú）,FALSE
